,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree
2,yDqlmUht,0.5,1.4500000000000008,1.5,0.3333333333333333,0.5555555555555556,0.9333333333333333,20,9
3,yDqlmUht,0.5,1.4500000000000008,1.5,0.375,0.8421052631578947,0.953125,20,8
4,yDqlmUht,0.5,1.4500000000000008,1.5,0.2222222222222222,0.7,0.9682539682539683,20,9
5,yDqlmUht,0.5,1.4500000000000008,1.5,0.16666666666666666,0.7368421052631579,0.9761904761904762,20,6
6,yDqlmUht,0.5,1.4500000000000008,1.5,0.42857142857142855,1.1,0.961038961038961,20,7
7,yDqlmUht,0.5,1.4500000000000008,1.5,0.25,0.6,0.9583333333333334,20,8
8,yDqlmUht,0.5,1.4500000000000008,1.5,0.5454545454545454,1.0526315789473684,0.9454545454545454,20,11
9,yDqlmUht,0.5,1.4500000000000008,1.5,0.4444444444444444,1.0,0.9506172839506173,20,9
0,dozUMbWS,0.5,1.5000000000000009,1.5,0.42857142857142855,0.8888888888888888,0.9464285714285714,20,7
1,dozUMbWS,0.5,1.5000000000000009,1.5,0.09090909090909091,0.3333333333333333,0.9696969696969697,20,11
2,dozUMbWS,0.5,1.5000000000000009,1.5,0.8,1.2941176470588236,0.9272727272727272,20,5
3,dozUMbWS,0.5,1.5000000000000009,1.5,0.6,0.7,0.9142857142857143,20,5
4,dozUMbWS,0.5,1.5000000000000009,1.5,0.16666666666666666,0.8421052631578947,0.9791666666666666,20,6
5,dozUMbWS,0.5,1.5000000000000009,1.5,0.1,0.3333333333333333,0.9666666666666667,20,10
6,dozUMbWS,0.5,1.5000000000000009,1.5,0.2727272727272727,0.6666666666666666,0.9545454545454546,20,11
7,dozUMbWS,0.5,1.5000000000000009,1.5,0.25,0.9473684210526315,0.9722222222222222,20,4
8,dozUMbWS,0.5,1.5000000000000009,1.5,0.2,0.8421052631578947,0.975,20,5
9,dozUMbWS,0.5,1.5000000000000009,1.5,0.3333333333333333,0.7368421052631579,0.9523809523809523,20,9
0,txvYsmjW,0.5,1.550000000000001,1.5,0.2222222222222222,0.9,0.9753086419753086,20,9
1,txvYsmjW,0.5,1.550000000000001,1.5,0.4166666666666667,0.8421052631578947,0.9479166666666666,20,12
2,txvYsmjW,0.5,1.550000000000001,1.5,0.3,0.7368421052631579,0.9571428571428572,20,10
3,txvYsmjW,0.5,1.550000000000001,1.5,0.375,1.1578947368421053,0.9659090909090909,20,8
4,txvYsmjW,0.5,1.550000000000001,1.5,0.2857142857142857,1.0526315789473684,0.9714285714285714,20,7
5,txvYsmjW,0.5,1.550000000000001,1.5,0.25,0.8,0.96875,20,8
6,txvYsmjW,0.5,1.550000000000001,1.5,0.3076923076923077,0.5263157894736842,0.9384615384615385,20,13
7,txvYsmjW,0.5,1.550000000000001,1.5,0.7142857142857143,1.2,0.9404761904761905,20,7
8,txvYsmjW,0.5,1.550000000000001,1.5,0.5,0.8888888888888888,0.9375,20,6
9,txvYsmjW,0.5,1.550000000000001,1.5,0.7142857142857143,1.4444444444444444,0.945054945054945,20,7
0,RdlRIPQt,0.5,1.600000000000001,1.5,0.0,0.631578947368421,1.0,20,7
1,RdlRIPQt,0.5,1.600000000000001,1.5,0.2,0.7777777777777778,0.9714285714285714,20,10
2,RdlRIPQt,0.5,1.600000000000001,1.5,0.3,0.631578947368421,0.95,20,10
3,RdlRIPQt,0.5,1.600000000000001,1.5,0.38461538461538464,0.631578947368421,0.9358974358974359,20,13
4,RdlRIPQt,0.5,1.600000000000001,1.5,0.3333333333333333,0.6,0.9444444444444444,20,9
5,RdlRIPQt,0.5,1.600000000000001,1.5,0.15384615384615385,0.5263157894736842,0.9692307692307692,20,13
6,RdlRIPQt,0.5,1.600000000000001,1.5,0.1,0.4,0.975,20,10
7,RdlRIPQt,0.5,1.600000000000001,1.5,0.3333333333333333,1.1578947368421053,0.9696969696969697,20,9
8,RdlRIPQt,0.5,1.600000000000001,1.5,0.2,0.7,0.9714285714285714,20,10
9,RdlRIPQt,0.5,1.600000000000001,1.5,0.375,0.7777777777777778,0.9464285714285714,20,8
0,DGeHNwvO,0.5,1.650000000000001,1.5,0.3,0.8,0.9625,20,10
1,DGeHNwvO,0.5,1.650000000000001,1.5,0.5,1.1,0.9545454545454546,20,8
2,DGeHNwvO,0.5,1.650000000000001,1.5,0.2,0.7,0.9714285714285714,20,10
3,DGeHNwvO,0.5,1.650000000000001,1.5,0.2222222222222222,0.8,0.9722222222222222,20,9
4,DGeHNwvO,0.5,1.650000000000001,1.5,0.1111111111111111,0.35294117647058826,0.962962962962963,20,9
5,DGeHNwvO,0.5,1.650000000000001,1.5,0.5,0.9411764705882353,0.9375,20,10
6,DGeHNwvO,0.5,1.650000000000001,1.5,0.25,0.5882352941176471,0.95,20,8
7,DGeHNwvO,0.5,1.650000000000001,1.5,0.5,1.1111111111111112,0.95,20,8
8,DGeHNwvO,0.5,1.650000000000001,1.5,0.4444444444444444,1.2222222222222223,0.9595959595959596,20,9
9,DGeHNwvO,0.5,1.650000000000001,1.5,0.125,0.9473684210526315,0.9861111111111112,20,8
0,qmGyCbrK,0.5,1.700000000000001,1.5,0.2222222222222222,0.7368421052631579,0.9682539682539683,20,9
1,qmGyCbrK,0.5,1.700000000000001,1.5,0.6666666666666666,1.3333333333333333,0.9444444444444444,20,9
2,qmGyCbrK,0.5,1.700000000000001,1.5,0.4,0.8421052631578947,0.95,20,10
3,qmGyCbrK,0.5,1.700000000000001,1.5,0.5714285714285714,1.368421052631579,0.9560439560439561,20,7
4,qmGyCbrK,0.5,1.700000000000001,1.5,0.3333333333333333,1.4736842105263157,0.9761904761904762,20,3
5,qmGyCbrK,0.5,1.700000000000001,1.5,0.2,0.7368421052631579,0.9714285714285714,20,5
6,qmGyCbrK,0.5,1.700000000000001,1.5,0.5555555555555556,1.4,0.9603174603174603,20,9
7,qmGyCbrK,0.5,1.700000000000001,1.5,0.25,0.6666666666666666,0.9583333333333334,20,8
8,qmGyCbrK,0.5,1.700000000000001,1.5,0.2857142857142857,0.7777777777777778,0.9591836734693877,20,7
9,qmGyCbrK,0.5,1.700000000000001,1.5,0.0,1.0,1.0,20,6
0,VDMqGLGY,0.5,1.750000000000001,1.5,0.2727272727272727,0.7,0.961038961038961,20,11
1,VDMqGLGY,0.5,1.750000000000001,1.5,0.2857142857142857,1.0,0.9714285714285714,20,7
2,VDMqGLGY,0.5,1.750000000000001,1.5,0.1111111111111111,0.3333333333333333,0.962962962962963,20,9
3,VDMqGLGY,0.5,1.750000000000001,1.5,0.3333333333333333,0.7,0.9523809523809523,20,9
4,VDMqGLGY,0.5,1.750000000000001,1.5,0.2,0.7777777777777778,0.9714285714285714,20,10
5,VDMqGLGY,0.5,1.750000000000001,1.5,0.6666666666666666,1.1,0.9393939393939394,20,9
6,VDMqGLGY,0.5,1.750000000000001,1.5,0.2857142857142857,0.6666666666666666,0.9523809523809523,20,14
