,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree,Network_SES_assortativity,Network_H_Share_H,Network_H_Share_L,Network_Degree,Network_Clustering,Predicted_H_Share,Predicted_Exposure,Predicted_Friend_Bias
0,BGFdltfa,0.5,1.6857535291774957,1.3080626441445131,0.35294117647058826,0.9,0.9607843137254902,20,17,0.31625436575221366,0.6683152631136623,0.3386401868847836,29.72,0.3634268249515466,0.2846461418852849,0.74466997,0.16203000000000006
1,BGFdltfa,0.5,1.6857535291774957,1.3080626441445131,0.3333333333333333,0.7368421052631579,0.9523809523809523,20,18,0.31625436575221366,0.6683152631136623,0.3386401868847836,29.72,0.3634268249515466,0.2846461418852849,0.74466997,0.16203000000000006
0,RPLDGkeN,0.5,1.5534956704587182,1.0752563242866717,0.2222222222222222,0.5263157894736842,0.9555555555555556,20,18,0.18945325938871843,0.6213236956608177,0.41249589200075115,31.0,0.36840334995301155,0.3642108408521121,0.78324002,0.043779998999999944
1,RPLDGkeN,0.5,1.5534956704587182,1.0752563242866717,0.16666666666666666,0.5,0.9666666666666667,20,18,0.18945325938871843,0.6213236956608177,0.41249589200075115,31.0,0.36840334995301155,0.3642108408521121,0.78324002,0.043779998999999944
0,UHjbXXlN,0.5,1.8734806058233873,1.2258058569371313,0.4117647058823529,0.8888888888888888,0.9485294117647058,20,17,0.28259359265440026,0.6562779295303363,0.3599918232311308,29.9,0.35799106584153845,0.2839030365457363,0.69602001,0.12833001000000005
1,UHjbXXlN,0.5,1.8734806058233873,1.2258058569371313,0.3157894736842105,0.7,0.9548872180451128,20,19,0.28259359265440026,0.6562779295303363,0.3599918232311308,29.9,0.35799106584153845,0.2839030365457363,0.69602001,0.12833001000000005
0,rIPucsCX,0.5,3.7862920595414735,1.2223788228956145,0.05263157894736842,0.2,0.9736842105263158,20,19,0.5103041438131005,0.7922204202835765,0.2608196007377191,30.04,0.38986737376642955,0.17092082755906973,0.41785999999999995,0.14959999999999993
1,rIPucsCX,0.5,3.7862920595414735,1.2223788228956145,0.25,0.6666666666666666,0.9583333333333334,20,16,0.5103041438131005,0.7922204202835765,0.2608196007377191,30.04,0.38986737376642955,0.17092082755906973,0.41785999999999995,0.14959999999999993
0,hkedkHlI,0.5,1.9526396598559113,1.3403796129520043,0.16666666666666666,0.42105263157894735,0.9583333333333334,20,18,0.33403981486709317,0.6123209149298502,0.26573106222248666,29.3,0.35368049366451987,0.2526746876238316,0.67736,0.18374000000000001
1,hkedkHlI,0.5,1.9526396598559113,1.3403796129520043,0.2777777777777778,0.7,0.9603174603174603,20,18,0.33403981486709317,0.6123209149298502,0.26573106222248666,29.3,0.35368049366451987,0.2526746876238316,0.67736,0.18374000000000001
0,gNswnixR,0.5,2.6075686140159706,1.263053178784051,0.17647058823529413,0.4444444444444444,0.9558823529411765,20,17,0.4125311655544109,0.6879913947039427,0.25220338004047654,29.42,0.36659371223962217,0.21946423923880803,0.55439001,0.1597599999999999
1,gNswnixR,0.5,2.6075686140159706,1.263053178784051,0.2,0.5882352941176471,0.96,20,15,0.4125311655544109,0.6879913947039427,0.25220338004047654,29.42,0.36659371223962217,0.21946423923880803,0.55439001,0.1597599999999999
0,fZdXOdCQ,0.5,2.5232359259012043,1.4395409996383104,0.4,1.0526315789473684,0.96,20,15,0.44578031437125737,0.7538002770864162,0.2875897569731674,28.72,0.3719006941691776,0.1971670032818192,0.56765997,0.23942
1,fZdXOdCQ,0.5,2.5232359259012043,1.4395409996383104,0.2777777777777778,0.5555555555555556,0.9444444444444444,20,18,0.44578031437125737,0.7538002770864162,0.2875897569731674,28.72,0.3719006941691776,0.1971670032818192,0.56765997,0.23942
